layer,direction,strength,prompt_id,degree_entropy_interv,degree_entropy_base,achieved_entropy_change,associative_drift,perplexity,local_coherence
4,regularize,0.5,p004,0.2261099040748475,1.6234078805164678,-1.3972979764416202,1.0839429944753647,,
4,regularize,0.5,p005,1.2814857668071293,1.14276097621607,0.13872479059105935,1.1356832087039948,,
5,regularize,0.5,p000,0.0,1.7537876588572643,-1.7537876588572643,1.0878634303808212,,
5,regularize,0.5,p001,0.0,1.6367738465858648,-1.6367738465858648,1.1039596050977707,,
5,regularize,0.5,p002,0.0,1.1922898933097776,-1.1922898933097776,1.1207557171583176,,
5,regularize,0.5,p003,0.0,1.7249486921965307,-1.7249486921965307,1.0866883918642998,,
5,regularize,0.5,p004,0.0,1.7682298579270725,-1.7682298579270725,1.0839429944753647,,
5,regularize,0.5,p005,0.0,1.2386402757833403,-1.2386402757833403,1.1356832087039948,,
6,regularize,0.5,p000,0.0,1.7747453803951672,-1.7747453803951672,1.0878634303808212,,
6,regularize,0.5,p001,0.0,1.524671630391475,-1.524671630391475,1.1039596050977707,,
6,regularize,0.5,p002,0.0,1.1663046219485644,-1.1663046219485644,1.1207557171583176,,
6,regularize,0.5,p003,0.0,1.741588669429298,-1.741588669429298,1.0866883918642998,,
6,regularize,0.5,p004,0.0,1.778370848278795,-1.778370848278795,1.0839429944753647,,
6,regularize,0.5,p005,0.0,1.134532688365565,-1.134532688365565,1.1356832087039948,,
7,regularize,0.5,p000,1.8723416447168362,2.945655825777705,-1.0733141810608686,0.25911593437194824,5.110279994542201,1.0
7,regularize,0.5,p001,1.7483375530267726,2.786491970821737,-1.0381544177949644,0.18587207794189453,3.1866820008268686,1.0
7,regularize,0.5,p002,1.6467104377114694,2.827804751265492,-1.1810943135540226,0.2550247311592102,3.6233479899715086,1.0
7,regularize,0.5,p003,1.8310153329031897,2.9705438888227405,-1.1395285559195507,0.29174333810806274,3.7655049081386878,1.0
7,regularize,0.5,p004,1.6941187504240318,3.0341576570307733,-1.3400389066067415,0.26357197761535645,5.502473354202432,1.0
7,regularize,0.5,p005,1.1396374006125636,1.248834217991064,-0.10919681737850051,1.1356832087039948,,
8,regularize,0.5,p000,0.0,1.779562680235679,-1.779562680235679,1.0878634303808212,,
8,regularize,0.5,p001,0.10134705152228529,1.4290259743984994,-1.3276789228762143,1.1039596050977707,,
8,regularize,0.5,p002,0.7303771178962876,1.0981209889919659,-0.3677438710956783,1.1207557171583176,,
8,regularize,0.5,p003,0.0,1.7296950717860475,-1.7296950717860475,1.0866883918642998,,
8,regularize,0.5,p004,0.0,1.712788597748333,-1.712788597748333,1.0839429944753647,,
8,regularize,0.5,p005,0.769774542030423,1.1295902472952908,-0.35981570526486784,1.1356832087039948,,
9,regularize,0.5,p000,0.0,1.6601761606780936,-1.6601761606780936,1.0878634303808212,,
9,regularize,0.5,p001,0.0,1.4642906593556637,-1.4642906593556637,1.1039596050977707,,
9,regularize,0.5,p002,0.0,2.6954755115058844,-2.6954755115058844,0.38222289085388184,2.686853739157502,1.0
9,regularize,0.5,p003,0.0,1.650521681675706,-1.650521681675706,1.0866883918642998,,
9,regularize,0.5,p004,0.0,1.6476274898864915,-1.6476274898864915,1.0839429944753647,,
9,regularize,0.5,p005,0.0,1.1121993135343398,-1.1121993135343398,1.1356832087039948,,
10,regularize,0.5,p000,0.0,1.7258218067350004,-1.7258218067350004,1.0878634303808212,,
10,regularize,0.5,p001,0.0,1.55255120345341,-1.55255120345341,1.1039596050977707,,
10,regularize,0.5,p002,0.0,1.143070714830775,-1.143070714830775,1.1207557171583176,,
10,regularize,0.5,p003,0.0,1.704516780145347,-1.704516780145347,1.0866883918642998,,
