prompt_id,layer,flattened,output_rel_l2_shift,output_cosine_shift,entropy_baseline,entropy_intervened,entropy_shift,mean_maxprob_baseline,mean_maxprob_intervened
p002,8,True,0.9198841408909159,0.3600804805755615,0.31213611364364624,0.5231150388717651,0.2109789252281189,0.7843754887580872,0.5729090571403503
p002,9,True,1.0866275549067341,0.43730103969573975,0.3165672719478607,0.5507845878601074,0.2342173159122467,0.7707451581954956,0.5311042070388794
p002,10,True,1.1680386113015921,0.42030298709869385,0.2666868269443512,0.5162986516952515,0.24961182475090027,0.82091224193573,0.5805566906929016
p002,11,True,1.282337875043828,0.43093180656433105,0.2032867819070816,0.4919363558292389,0.2886495739221573,0.8744964599609375,0.6211166381835938
p002,12,True,1.2591412353447007,0.4203498959541321,0.23343616724014282,0.4740501642227173,0.24061399698257446,0.8431676030158997,0.6262495517730713
p002,13,True,1.4912589507652032,0.472983717918396,0.21653123199939728,0.4472743570804596,0.23074312508106232,0.8580449223518372,0.6539031267166138
p002,14,True,1.640938975948851,0.43212324380874634,0.19050809741020203,0.44588884711265564,0.2553807497024536,0.8673316240310669,0.6572846174240112
p002,15,True,0.9618087564391328,0.32752060890197754,0.2182171791791916,0.5002776384353638,0.2820604592561722,0.8368827104568481,0.5900853276252747
p003,0,True,0.7288276120436067,0.2831592559814453,0.3237215578556061,0.6448925137519836,0.32117095589637756,0.6972607374191284,0.3287370502948761
p003,1,True,1.3900017341263229,0.5083782374858856,0.1935238242149353,0.6066976189613342,0.4131737947463989,0.8341231942176819,0.38362476229667664
p003,2,True,2.215547422082703,0.6541551351547241,0.18054774403572083,0.5925702452659607,0.41202250123023987,0.8555877804756165,0.403449147939682
p003,3,True,1.7992256115435998,0.6495364010334015,0.28223514556884766,0.6412510871887207,0.35901594161987305,0.7497419714927673,0.3116138279438019
p003,4,True,1.813896686716968,0.74360591173172,0.28170692920684814,0.6153849363327026,0.3336780071258545,0.743747889995575,0.36800122261047363
p003,5,True,1.3639001532639563,0.7241187989711761,0.31843671202659607,0.6022719144821167,0.28383520245552063,0.7022278308868408,0.3744644820690155
p003,6,True,1.3404931605761523,0.7149438261985779,0.38339483737945557,0.60425865650177,0.22086381912231445,0.6223800778388977,0.37369972467422485
p003,7,True,1.2522237419515172,0.6815644800662994,0.37605535984039307,0.6134188175201416,0.23736345767974854,0.6614910960197449,0.40112775564193726
p003,8,True,1.2963298163606585,0.69558185338974,0.36970388889312744,0.5628954768180847,0.19319158792495728,0.6557788848876953,0.43820756673812866
p003,9,True,1.2646578753113873,0.687318354845047,0.38208338618278503,0.6076685786247253,0.2255851924419403,0.6263207197189331,0.35995638370513916
p003,10,True,1.3816116746350677,0.6469634175300598,0.31756827235221863,0.5433839559555054,0.22581568360328674,0.7068309783935547,0.45284831523895264
